"","year","state","county","commodity","damagecause","loss","count","acres","lossperacre","lossperclaim","acresperclaim"
"10655",2007,"ID","Cassia","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",808,1,122.5,6.59591836734694,808,122.5
"10656",2008,"ID","Cassia","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",14416,3,1183.3,12.1828783909406,4805.33333333333,394.433333333333
"11453",2007,"ID","Franklin","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",23,1,15,1.53333333333333,23,15
"11636",2007,"ID","Gooding","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",28525,2,15534,1.83629457963178,14262.5,7767
"12123",2007,"ID","Jefferson","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",24701,3,746.6,33.0846504152156,8233.66666666667,248.866666666667
"12124",2008,"ID","Jefferson","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",36496,2,1798.1,20.2969801457094,18248,899.05
"12147",2007,"ID","Jerome","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",10605,1,252,42.0833333333333,10605,252
"12148",2008,"ID","Jerome","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",1480,2,16,92.5,740,8
"12315",2015,"OR","Klamath","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",1069807,5,0,0,213961.4,0
"12681",2007,"OR","Malheur","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",146472,2,39952,3.66619943932719,73236,19976
"12682",2008,"OR","Malheur","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",28150,2,14625,1.92478632478632,14075,7312.5
"12683",2009,"OR","Malheur","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",2828,1,520,5.43846153846154,2828,520
"12684",2015,"OR","Malheur","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",234729,5,0,0,46945.8,0
"13201",2007,"ID","Oneida","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",21108,3,1048,20.1412213740458,7036,349.333333333333
"13246",2007,"ID","Owyhee","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",48577,3,84483.6,0.574987334820012,16192.3333333333,28161.2
"13247",2008,"ID","Owyhee","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",38665,3,36317,1.06465291736652,12888.3333333333,12105.6666666667
"13425",2007,"ID","Power","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",14998,2,192.4,77.952182952183,7499,96.2
"14141",2007,"ID","Twin Falls","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",22181,2,17036.85,1.30194255393456,11090.5,8518.425
"14142",2008,"ID","Twin Falls","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",6890,2,10356.8,0.665263401822957,3445,5178.4
"14143",2009,"ID","Twin Falls","PASTURE,RANGELAND,FORAGE","Area Plan Crops Only",4,1,124,0.032258064516129,4,124
"15149",2001,"WA","Adams","ADJUSTED GROSS REVENUE","Cold Wet Weather",16634,1,0,0,16634,0
"15150",2001,"WA","Benton","ADJUSTED GROSS REVENUE","Cold Wet Weather",467827,2,0,0,233913.5,0
"15151",2002,"WA","Benton","ADJUSTED GROSS REVENUE","Cold Wet Weather",268985,2,0,0,134492.5,0
"15152",2003,"WA","Benton","ADJUSTED GROSS REVENUE","Cold Wet Weather",106085,1,0,0,106085,0
"15153",2004,"WA","Benton","ADJUSTED GROSS REVENUE","Cold Wet Weather",77477.43,2,0,0,38738.715,0
"15154",2005,"WA","Benton","ADJUSTED GROSS REVENUE","Cold Wet Weather",41077.6,1,0,0,41077.6,0
"15155",2010,"WA","Benton","ADJUSTED GROSS REVENUE","Cold Wet Weather",71955.8,2,0,0,35977.9,0
"15156",2011,"WA","Benton","ADJUSTED GROSS REVENUE","Cold Wet Weather",629060.06,2,0,0,314530.03,0
"15158",2003,"ID","Canyon","ADJUSTED GROSS REVENUE","Cold Wet Weather",249323,1,0,0,249323,0
"15159",2004,"ID","Canyon","ADJUSTED GROSS REVENUE","Cold Wet Weather",74859.4,1,0,0,74859.4,0
"15160",2005,"ID","Canyon","ADJUSTED GROSS REVENUE","Cold Wet Weather",269445.75,1,0,0,269445.75,0
"15163",2001,"WA","Chelan","ADJUSTED GROSS REVENUE","Cold Wet Weather",16031,1,0,0,16031,0
"15164",2003,"WA","Chelan","ADJUSTED GROSS REVENUE","Cold Wet Weather",2195,1,0,0,2195,0
"15165",2004,"WA","Chelan","ADJUSTED GROSS REVENUE","Cold Wet Weather",26599.3,1,0,0,26599.3,0
"15166",2009,"WA","Chelan","ADJUSTED GROSS REVENUE","Cold Wet Weather",9629.48,1,0,0,9629.48,0
"15167",2010,"WA","Chelan","ADJUSTED GROSS REVENUE","Cold Wet Weather",31913.21,1,0,0,31913.21,0
"15168",2004,"WA","Douglas","ADJUSTED GROSS REVENUE","Cold Wet Weather",4124.85,1,0,0,4124.85,0
"15169",2005,"WA","Douglas","ADJUSTED GROSS REVENUE","Cold Wet Weather",30797,1,0,0,30797,0
"15173",2002,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",41793.8,1,0,0,41793.8,0
"15174",2004,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",26545.4,1,0,0,26545.4,0
"15175",2005,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",120933.7,2,0,0,60466.85,0
"15176",2006,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",98042,1,0,0,98042,0
"15177",2009,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",45179,1,0,0,45179,0
"15178",2010,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",479255.45,5,0,0,95851.09,0
"15179",2011,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",73198.5,1,0,0,73198.5,0
"15180",2013,"WA","Franklin","ADJUSTED GROSS REVENUE","Cold Wet Weather",42620.8,1,0,0,42620.8,0
"15184",2002,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",37726,1,0,0,37726,0
"15185",2003,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",72607.4,2,0,0,36303.7,0
"15186",2004,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",22270.25,1,0,0,22270.25,0
"15187",2006,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",443817,1,0,0,443817,0
"15188",2009,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",435422,1,0,0,435422,0
"15189",2010,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",304788,2,0,0,152394,0
"15190",2013,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",797,1,0,0,797,0
"15191",2014,"WA","Grant","ADJUSTED GROSS REVENUE","Cold Wet Weather",52365.22,1,0,0,52365.22,0
"15199",2002,"OR","Malheur","ADJUSTED GROSS REVENUE","Cold Wet Weather",15648,1,0,0,15648,0
"15200",2001,"WA","Okanogan","ADJUSTED GROSS REVENUE","Cold Wet Weather",16441,1,0,0,16441,0
"15201",2004,"WA","Okanogan","ADJUSTED GROSS REVENUE","Cold Wet Weather",482913.62,4,0,0,120728.405,0
"15202",2005,"WA","Okanogan","ADJUSTED GROSS REVENUE","Cold Wet Weather",6458.2,1,0,0,6458.2,0
"15203",2010,"WA","Okanogan","ADJUSTED GROSS REVENUE","Cold Wet Weather",4644,1,0,0,4644,0
"15204",2013,"WA","Okanogan","ADJUSTED GROSS REVENUE","Cold Wet Weather",3398.5,1,0,0,3398.5,0
"15213",2005,"WA","Walla Walla","ADJUSTED GROSS REVENUE","Cold Wet Weather",39785,1,0,0,39785,0
"15216",2001,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",72725,1,0,0,72725,0
"15217",2002,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",6497,2,0,0,3248.5,0
"15218",2003,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",22991,1,0,0,22991,0
"15219",2004,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",52729.65,2,0,0,26364.825,0
"15220",2005,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",6278.8,1,0,0,6278.8,0
"15221",2006,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",59487.6,1,0,0,59487.6,0
"15222",2010,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",1034936.28,3,0,0,344978.76,0
"15223",2014,"WA","Yakima","ADJUSTED GROSS REVENUE","Cold Wet Weather",7503.65,1,0,0,7503.65,0
"15225",2004,"ID","Ada","All Other Crops","Cold Wet Weather",96935.3,3,315.02,307.711573868326,32311.7666666667,105.006666666667
"15226",2015,"ID","Ada","All Other Crops","Cold Wet Weather",4635,1,0,0,4635,0
"15228",2008,"WA","Adams","All Other Crops","Cold Wet Weather",17627,1,0,0,17627,0
"15229",2013,"WA","Adams","All Other Crops","Cold Wet Weather",22919.5,1,7.5,3055.93333333333,22919.5,7.5
"15245",2001,"OR","All Other Counties","All Other Crops","Cold Wet Weather",4841,2,74.6,64.8927613941019,2420.5,37.3
"15246",2003,"OR","All Other Counties","All Other Crops","Cold Wet Weather",12147,1,59.3,204.839797639123,12147,59.3
"15247",2007,"OR","All Other Counties","All Other Crops","Cold Wet Weather",11397,1,56,203.517857142857,11397,56
"15248",2011,"OR","All Other Counties","All Other Crops","Cold Wet Weather",13883,2,69.5,199.755395683453,6941.5,34.75
"15252",2010,"WA","All Other Counties","All Other Crops","Cold Wet Weather",5529,1,4.3,1285.81395348837,5529,4.3
"15253",2011,"WA","All Other Counties","All Other Crops","Cold Wet Weather",2009,2,51.2,39.23828125,1004.5,25.6
"15254",2012,"WA","All Other Counties","All Other Crops","Cold Wet Weather",67674,1,519,130.393063583815,67674,519
"15287",2010,"OR","Baker","All Other Crops","Cold Wet Weather",3864,1,20,193.2,3864,20
"15288",2012,"OR","Baker","All Other Crops","Cold Wet Weather",7496,1,232.8,32.1993127147766,7496,232.8
"15300",2005,"OR","Benton","All Other Crops","Cold Wet Weather",7773,1,0,0,7773,0
"15301",2006,"OR","Benton","All Other Crops","Cold Wet Weather",11896,1,0,0,11896,0
"15302",2011,"OR","Benton","All Other Crops","Cold Wet Weather",2378.4,1,83.52,28.4770114942529,2378.4,83.52
"15303",2013,"OR","Benton","All Other Crops","Cold Wet Weather",10950.5,2,67.6,161.989644970414,5475.25,33.8
"15304",2014,"OR","Benton","All Other Crops","Cold Wet Weather",3146.2,1,7.4,425.162162162162,3146.2,7.4
"15305",2007,"WA","Benton","All Other Crops","Cold Wet Weather",2388.75,1,61.25,39,2388.75,61.25
"15318",2008,"ID","Boundary","All Other Crops","Cold Wet Weather",552,1,22,25.0909090909091,552,22
"15319",2009,"ID","Boundary","All Other Crops","Cold Wet Weather",129194,1,541.9,238.409300608968,129194,541.9
"15320",2012,"ID","Boundary","All Other Crops","Cold Wet Weather",36628.6,2,185.713,197.232288531228,18314.3,92.8565
"15351",2012,"ID","Camas","All Other Crops","Cold Wet Weather",1739,1,80,21.7375,1739,80
"15358",2014,"ID","Caribou","All Other Crops","Cold Wet Weather",29340,1,175.83,166.86572257294,29340,175.83
"15385",2011,"WA","Chelan","All Other Crops","Cold Wet Weather",240.5,1,42.5,5.65882352941177,240.5,42.5
"15412",2011,"ID","Clark","All Other Crops","Cold Wet Weather",45395,5,566.2,80.1748498763688,9079,113.24
"15417",2005,"ID","Clearwater","All Other Crops","Cold Wet Weather",19405.2,2,305.91,63.4343434343434,9702.6,152.955
"15426",2010,"WA","Columbia","All Other Crops","Cold Wet Weather",31738,2,114.8,276.463414634146,15869,57.4
"15446",2010,"OR","Crook","All Other Crops","Cold Wet Weather",21427.8,1,129.12,165.952602230483,21427.8,129.12
"15447",2011,"OR","Crook","All Other Crops","Cold Wet Weather",127345,3,907.7,140.294150049576,42448.3333333333,302.566666666667
"15448",2012,"OR","Crook","All Other Crops","Cold Wet Weather",11695,2,251,46.593625498008,5847.5,125.5
"15453",2010,"OR","Curry","All Other Crops","Cold Wet Weather",264389.4,4,45.4,5823.5550660793,66097.35,11.35
"15454",2011,"OR","Curry","All Other Crops","Cold Wet Weather",277199.5,9,95.4,2905.65513626834,30799.9444444444,10.6
"15455",2012,"OR","Curry","All Other Crops","Cold Wet Weather",145574.4,2,0,0,72787.2,0
"15456",2013,"OR","Curry","All Other Crops","Cold Wet Weather",23354.43,2,4.029,5796.58227848101,11677.215,2.0145
"15457",2014,"OR","Curry","All Other Crops","Cold Wet Weather",4705.44,2,3.792,1240.88607594937,2352.72,1.896
"15458",2005,"ID","Custer","All Other Crops","Cold Wet Weather",245,1,106.4,2.30263157894737,245,106.4
"15474",2010,"OR","Douglas","All Other Crops","Cold Wet Weather",8942,2,30,298.066666666667,4471,15
"15475",2013,"OR","Douglas","All Other Crops","Cold Wet Weather",8567,1,58,147.706896551724,8567,58
"15564",2003,"ID","Gem","All Other Crops","Cold Wet Weather",5213,2,15,347.533333333333,2606.5,7.5
"15565",2009,"ID","Gem","All Other Crops","Cold Wet Weather",1803,1,1.5,1202,1803,1.5
"15566",2010,"ID","Gem","All Other Crops","Cold Wet Weather",4317,1,55.6,77.6438848920863,4317,55.6
"15567",2011,"ID","Gem","All Other Crops","Cold Wet Weather",95537.7,8,162.14,589.229678056001,11942.2125,20.2675
"15568",2013,"ID","Gem","All Other Crops","Cold Wet Weather",2011.5,1,1.65,1219.09090909091,2011.5,1.65
"15569",2015,"ID","Gem","All Other Crops","Cold Wet Weather",31923,2,13.3,2400.22556390977,15961.5,6.65
"15589",2001,"WA","Grays Harbor","All Other Crops","Cold Wet Weather",1237,1,29.8,41.510067114094,1237,29.8
"15590",2002,"WA","Grays Harbor","All Other Crops","Cold Wet Weather",2814,1,13.9,202.446043165468,2814,13.9
"15591",2006,"WA","Grays Harbor","All Other Crops","Cold Wet Weather",3657,2,33.7,108.516320474777,1828.5,16.85
"15592",2010,"WA","Grays Harbor","All Other Crops","Cold Wet Weather",4310,1,14.7,293.197278911565,4310,14.7
"15628",2011,"OR","Hood River","All Other Crops","Cold Wet Weather",5803,2,48.14,120.544245949315,2901.5,24.07
"15629",2012,"OR","Hood River","All Other Crops","Cold Wet Weather",1362,2,38,35.8421052631579,681,19
"15663",2001,"OR","Jackson","All Other Crops","Cold Wet Weather",128458,1,201.7,636.876549330689,128458,201.7
"15664",2003,"OR","Jackson","All Other Crops","Cold Wet Weather",29670,1,20.975,1414.54112038141,29670,20.975
"15665",2004,"OR","Jackson","All Other Crops","Cold Wet Weather",2268,1,9.5,238.736842105263,2268,9.5
"15666",2005,"OR","Jackson","All Other Crops","Cold Wet Weather",310600.64,1,396.144,784.059937800396,310600.64,396.144
"15667",2007,"OR","Jackson","All Other Crops","Cold Wet Weather",74964.4,1,177.64,422.001801396082,74964.4,177.64
"15668",2008,"OR","Jackson","All Other Crops","Cold Wet Weather",6536,1,6.3,1037.46031746032,6536,6.3
"15669",2010,"OR","Jackson","All Other Crops","Cold Wet Weather",80621.21,1,98.916,815.047211775648,80621.21,98.916
"15670",2013,"OR","Jackson","All Other Crops","Cold Wet Weather",65632,1,113.85,576.477821695213,65632,113.85
"15671",2014,"OR","Jackson","All Other Crops","Cold Wet Weather",68537,1,142.1,482.315270935961,68537,142.1
"15701",2011,"WA","King","All Other Crops","Cold Wet Weather",50554,1,131,385.908396946565,50554,131
"15702",2012,"WA","King","All Other Crops","Cold Wet Weather",27256,1,131,208.06106870229,27256,131
"15705",2001,"WA","Kittitas","All Other Crops","Cold Wet Weather",42640,1,52,820,42640,52
"15706",2010,"WA","Kittitas","All Other Crops","Cold Wet Weather",18079,1,18.1,998.839779005525,18079,18.1
"15707",2015,"WA","Kittitas","All Other Crops","Cold Wet Weather",43740,1,13,3364.61538461538,43740,13
"15709",2005,"WA","Klickitat","All Other Crops","Cold Wet Weather",14658,1,0,0,14658,0
"15712",2008,"ID","Kootenai","All Other Crops","Cold Wet Weather",143188,3,1018.47,140.591279075476,47729.3333333333,339.49
"15733",2004,"OR","Lane","All Other Crops","Cold Wet Weather",4620,1,11.5,401.739130434783,4620,11.5
"15734",2005,"OR","Lane","All Other Crops","Cold Wet Weather",7134,1,13.3,536.390977443609,7134,13.3
"15735",2010,"OR","Lane","All Other Crops","Cold Wet Weather",472,1,2.2,214.545454545455,472,2.2
"15736",2011,"OR","Lane","All Other Crops","Cold Wet Weather",30332,2,17.4,1743.2183908046,15166,8.7
"15752",2013,"WA","Lewis","All Other Crops","Cold Wet Weather",36739,2,300,122.463333333333,18369.5,150
"15762",2009,"OR","Linn","All Other Crops","Cold Wet Weather",59998.4,1,0,0,59998.4,0
"15763",2010,"OR","Linn","All Other Crops","Cold Wet Weather",55579,2,0,0,27789.5,0
"15790",2005,"OR","Marion","All Other Crops","Cold Wet Weather",178407,1,0,0,178407,0
"15791",2007,"OR","Marion","All Other Crops","Cold Wet Weather",8178.8,2,13.7,596.992700729927,4089.4,6.85
"15876",2011,"WA","Okanogan","All Other Crops","Cold Wet Weather",16129,1,227.26,70.9715744081669,16129,227.26
"15877",2012,"WA","Okanogan","All Other Crops","Cold Wet Weather",2706,1,2.4,1127.5,2706,2.4
"15908",2008,"WA","Pacific","All Other Crops","Cold Wet Weather",4024,1,7.1,566.760563380282,4024,7.1
"15909",2010,"WA","Pacific","All Other Crops","Cold Wet Weather",54068,1,0,0,54068,0
"15910",2011,"WA","Pacific","All Other Crops","Cold Wet Weather",45710.25,1,0,0,45710.25,0
"15914",2009,"ID","Payette","All Other Crops","Cold Wet Weather",9511,2,102.5,92.790243902439,4755.5,51.25
"15928",2003,"OR","Polk","All Other Crops","Cold Wet Weather",38291,1,0,0,38291,0
"15929",2005,"OR","Polk","All Other Crops","Cold Wet Weather",37034,1,0,0,37034,0
"15930",2009,"OR","Polk","All Other Crops","Cold Wet Weather",290226.72,2,0,0,145113.36,0
"16001",2008,"WA","Skagit","All Other Crops","Cold Wet Weather",139465.8,1,0,0,139465.8,0
"16002",2009,"WA","Skagit","All Other Crops","Cold Wet Weather",275257.45,1,0,0,275257.45,0
"16003",2010,"WA","Skagit","All Other Crops","Cold Wet Weather",197834.5,2,0,0,98917.25,0
"16027",2010,"WA","Stevens","All Other Crops","Cold Wet Weather",943,1,41.1,22.9440389294404,943,41.1
"16028",2011,"WA","Stevens","All Other Crops","Cold Wet Weather",56493,2,358.41,157.62116012388,28246.5,179.205
"16029",2012,"WA","Stevens","All Other Crops","Cold Wet Weather",6676.4,2,150.93,44.2350758629828,3338.2,75.465
"16030",2014,"WA","Stevens","All Other Crops","Cold Wet Weather",9592.8,1,30,319.76,9592.8,30
"16061",2013,"OR","Union","All Other Crops","Cold Wet Weather",8425,1,18,468.055555555556,8425,18
"16080",2010,"OR","Wasco","All Other Crops","Cold Wet Weather",14420,1,68.7,209.898107714702,14420,68.7
"16083",2008,"ID","Washington","All Other Crops","Cold Wet Weather",30591,1,41.8,731.842105263158,30591,41.8
