"","year","state","county","commodity","damagecause","monthcode","month","loss"
"5758",1989,"ID","Camas","All Other Crops","Frost",10,"OCT",17447
"5759",1989,"ID","Camas","All Other Crops","Frost",11,"NOV",1038
"5760",1989,"ID","Camas","All Other Crops","Freeze",10,"OCT",2504
"5761",1989,"ID","Camas","All Other Crops","Drought",6,"JUN",23
"5762",1989,"ID","Camas","All Other Crops","Drought",7,"JUL",578
"5763",1989,"ID","Camas","All Other Crops","Drought",8,"AUG",1351
"5764",1989,"ID","Camas","All Other Crops","Heat",7,"JUL",3058
"5765",1989,"ID","Camas","All Other Crops","Heat",10,"OCT",1919
"5766",1989,"ID","Canyon","All Other Crops","Frost",10,"OCT",38973
"5767",1989,"ID","Canyon","All Other Crops","Freeze",10,"OCT",29068
"5768",1989,"ID","Canyon","All Other Crops","Wind/Excess Wind",7,"JUL",13625
"5769",1989,"ID","Canyon","All Other Crops","Wind/Excess Wind",10,"OCT",467
"5770",1989,"ID","Canyon","All Other Crops","Excess Moisture/Precip/Rain",0,"",906
"5771",1989,"ID","Canyon","All Other Crops","Other (Snow-Lightning-Etc.)",10,"OCT",6727
"5772",1989,"ID","Canyon","All Other Crops","Heat",0,"",3849
"5773",1989,"ID","Canyon","All Other Crops","Insects",0,"",962
"5774",1989,"ID","Canyon","All Other Crops","Heat",8,"AUG",766
"5775",1989,"ID","Canyon","All Other Crops","Other (Snow-Lightning-Etc.)",10,"OCT",1610
"5776",1989,"ID","Caribou","All Other Crops","Drought",0,"",3104
"5777",1989,"ID","Caribou","All Other Crops","Hail",0,"",18677
"5778",1989,"ID","Caribou","All Other Crops","Freeze",0,"",4220
"5779",1989,"ID","Caribou","All Other Crops","Drought",0,"",550
"5780",1989,"ID","Caribou","All Other Crops","Hail",0,"",14334
"5781",1989,"ID","Caribou","All Other Crops","Frost",0,"",9624
"5782",1989,"ID","Caribou","All Other Crops","Freeze",0,"",108925
"5783",1989,"ID","Caribou","All Other Crops","Cold Winter",0,"",2304
"5784",1989,"ID","Caribou","All Other Crops","Drought",6,"JUN",2463
"5785",1989,"ID","Caribou","All Other Crops","Drought",7,"JUL",4764
"5786",1989,"ID","Caribou","All Other Crops","Drought",10,"OCT",4134
"5787",1989,"ID","Caribou","All Other Crops","Hail",8,"AUG",24500
"5788",1989,"ID","Caribou","All Other Crops","Hail",9,"SEP",293
"5789",1989,"ID","Caribou","All Other Crops","Hail",10,"OCT",7451
"5790",1989,"ID","Caribou","All Other Crops","Frost",6,"JUN",98470
"5791",1989,"ID","Caribou","All Other Crops","Frost",10,"OCT",37921
"5792",1989,"ID","Caribou","All Other Crops","Freeze",6,"JUN",2215
"5793",1989,"ID","Caribou","All Other Crops","Hail",10,"OCT",757
"5794",1989,"ID","Caribou","All Other Crops","Frost",10,"OCT",1136
"5795",1989,"ID","Cassia","WHEAT","Hail",0,"",12085
"5796",1989,"ID","Cassia","WHEAT","Drought",0,"",15514
"5797",1989,"ID","Cassia","WHEAT","Heat",0,"",3092
"5798",1989,"ID","Cassia","WHEAT","Frost",0,"",21359
"5799",1989,"ID","Cassia","WHEAT","Freeze",0,"",218
"5800",1989,"ID","Cassia","WHEAT","Insects",0,"",12368
"5801",1989,"ID","Cassia","WHEAT","Drought",2,"FEB",1885
"5802",1989,"ID","Cassia","WHEAT","Drought",4,"APR",11573
"5803",1989,"ID","Cassia","WHEAT","Drought",5,"MAY",64761
"5804",1989,"ID","Cassia","WHEAT","Drought",6,"JUN",69827
"5805",1989,"ID","Cassia","WHEAT","Drought",9,"SEP",5950
"5806",1989,"ID","Cassia","WHEAT","Drought",10,"OCT",94784
"5807",1989,"ID","Cassia","WHEAT","Heat",4,"APR",25738
"5808",1989,"ID","Cassia","WHEAT","Heat",7,"JUL",10732
"5809",1989,"ID","Cassia","WHEAT","Heat",9,"SEP",2240
"5810",1989,"ID","Cassia","WHEAT","Heat",10,"OCT",7585
"5811",1989,"ID","Cassia","WHEAT","Hail",6,"JUN",9723
"5812",1989,"ID","Cassia","WHEAT","Hail",8,"AUG",15005
"5813",1989,"ID","Cassia","WHEAT","Frost",5,"MAY",38905
"5814",1989,"ID","Cassia","WHEAT","Frost",6,"JUN",221519
"5815",1989,"ID","Cassia","WHEAT","Frost",7,"JUL",1444
"5816",1989,"ID","Cassia","WHEAT","Frost",8,"AUG",12105
"5817",1989,"ID","Cassia","WHEAT","Frost",9,"SEP",19788
"5818",1989,"ID","Cassia","WHEAT","Frost",10,"OCT",19719
"5819",1989,"ID","Cassia","WHEAT","Freeze",1,"JAN",1885
"5820",1989,"ID","Cassia","WHEAT","Cold Winter",9,"SEP",14276
"5821",1989,"ID","Cassia","WHEAT","Hot Wind",7,"JUL",10653
"5822",1989,"ID","Cassia","WHEAT","Other (Snow-Lightning-Etc.)",7,"JUL",5775
"5823",1989,"ID","Cassia","WHEAT","Drought",5,"MAY",7449
"5824",1989,"ID","Cassia","WHEAT","Drought",6,"JUN",12441
"5825",1989,"ID","Cassia","WHEAT","Drought",9,"SEP",937
"5826",1989,"ID","Cassia","WHEAT","Heat",4,"APR",937
"5827",1989,"ID","Cassia","WHEAT","Heat",7,"JUL",2483
"5828",1989,"ID","Cassia","WHEAT","Hail",8,"AUG",18216
"5829",1989,"ID","Cassia","OATS","Hot Wind",10,"OCT",501
"5830",1989,"ID","Cassia","OATS","Hail",7,"JUL",710
"5831",1989,"ID","Cassia","OATS","Frost",6,"JUN",1065
"5832",1989,"ID","Cassia","DRY BEANS","Heat",7,"JUL",12645
"5833",1989,"ID","Cassia","DRY BEANS","Wind/Excess Wind",9,"SEP",4407
"5834",1989,"ID","Cassia","GREEN PEAS","Heat",6,"JUN",1002
"5835",1989,"ID","Cassia","GREEN PEAS","Frost",5,"MAY",788
"5836",1989,"ID","Cassia","GREEN PEAS","Freeze",6,"JUN",587
"5837",1989,"ID","Cassia","GREEN PEAS","Flood",5,"MAY",2019
"5838",1989,"ID","Cassia","GREEN PEAS","Heat",6,"JUN",578
"5839",1989,"ID","Cassia","GREEN PEAS","Flood",5,"MAY",5203
"5840",1989,"ID","Cassia","POTATOES","Heat",6,"JUN",12999
"5841",1989,"ID","Cassia","POTATOES","Heat",7,"JUL",4292
"5842",1989,"ID","Cassia","POTATOES","Hail",8,"AUG",18390
"5843",1989,"ID","Cassia","POTATOES","Frost",5,"MAY",32094
"5844",1989,"ID","Cassia","BARLEY","Hail",0,"",25394
"5845",1989,"ID","Cassia","BARLEY","Heat",0,"",3343
"5846",1989,"ID","Cassia","BARLEY","Failure Irrig Supply",0,"",1433
"5847",1989,"ID","Cassia","BARLEY","Heat",7,"JUL",901
"5848",1989,"ID","Cassia","BARLEY","Frost",3,"MAR",45
"5849",1989,"ID","Cassia","BARLEY","Frost",5,"MAY",9813
"5850",1989,"ID","Cassia","BARLEY","Frost",6,"JUN",3943
"5851",1989,"ID","Cassia","BARLEY","Frost",10,"OCT",12122
"5852",1989,"ID","Cassia","BARLEY","Hail",7,"JUL",1339
"5853",1989,"ID","Cassia","BARLEY","Frost",5,"MAY",1530
"5854",1989,"ID","Cassia","BARLEY","Frost",6,"JUN",2008
"5855",1989,"ID","Clearwater","All Other Crops","Excess Moisture/Precip/Rain",7,"JUL",444
"5856",1989,"ID","Clearwater","All Other Crops","Excess Moisture/Precip/Rain",0,"",14035
"5857",1989,"ID","Clearwater","All Other Crops","Drought",6,"JUN",5638
"5858",1989,"ID","Clearwater","All Other Crops","Drought",10,"OCT",178
"5859",1989,"ID","Clearwater","All Other Crops","Excess Moisture/Precip/Rain",8,"AUG",1514
"5860",1989,"ID","Clearwater","All Other Crops","Excess Moisture/Precip/Rain",9,"SEP",880
"5861",1989,"ID","Clearwater","All Other Crops","Excess Moisture/Precip/Rain",10,"OCT",2480
"5862",1989,"ID","Elmore","All Other Crops","Frost",10,"OCT",9183
"5863",1989,"ID","Elmore","All Other Crops","Other (Snow-Lightning-Etc.)",7,"JUL",3607
"5864",1989,"ID","Elmore","All Other Crops","Drought",0,"",207
"5865",1989,"ID","Elmore","All Other Crops","Wildlife",0,"",52
"5866",1989,"ID","Elmore","All Other Crops","Drought",0,"",9863
"5867",1989,"ID","Elmore","All Other Crops","Frost",0,"",290
"5868",1989,"ID","Elmore","All Other Crops","Wildlife",0,"",322
"5869",1989,"ID","Elmore","All Other Crops","Drought",6,"JUN",4619
"5870",1989,"ID","Elmore","All Other Crops","Heat",10,"OCT",9067
"5871",1989,"ID","Elmore","All Other Crops","Hail",8,"AUG",2700
"5872",1989,"ID","Elmore","All Other Crops","Frost",6,"JUN",226
"5873",1989,"ID","Elmore","All Other Crops","",8,"AUG",666
"5874",1989,"ID","Franklin","WHEAT","Drought",0,"",327
"5875",1989,"ID","Franklin","WHEAT","Cold Winter",0,"",762
"5876",1989,"ID","Franklin","WHEAT","Drought",0,"",5235
"5877",1989,"ID","Franklin","WHEAT","Failure Irrig Supply",0,"",453
"5878",1989,"ID","Franklin","WHEAT","Freeze",0,"",550
"5879",1989,"ID","Franklin","WHEAT","Drought",10,"OCT",16484
"5880",1989,"ID","Franklin","WHEAT","Heat",10,"OCT",427
"5881",1989,"ID","Franklin","WHEAT","Frost",6,"JUN",27841
"5882",1989,"ID","Franklin","WHEAT","Frost",9,"SEP",15585
"5883",1989,"ID","Franklin","WHEAT","Frost",10,"OCT",73449
"5884",1989,"ID","Franklin","WHEAT","Freeze",10,"OCT",420
"5885",1989,"ID","Franklin","WHEAT","Insects",6,"JUN",20203
"5886",1989,"ID","Franklin","WHEAT","Drought",10,"OCT",2923
"5887",1989,"ID","Franklin","WHEAT","Frost",10,"OCT",4384
"5888",1989,"ID","Franklin","WHEAT","Freeze",10,"OCT",3106
"5889",1989,"ID","Franklin","CORN","Drought",10,"OCT",1641
"5890",1989,"ID","Franklin","CORN","Frost",10,"OCT",2462
"5891",1989,"ID","Franklin","CORN","Drought",10,"OCT",521
"5892",1989,"ID","Franklin","CORN","Frost",10,"OCT",781
"5893",1989,"ID","Franklin","PROCESSING BEANS","Frost",10,"OCT",26506
"5894",1989,"ID","Franklin","PROCESSING BEANS","Wind/Excess Wind",10,"OCT",11697
"5895",1989,"ID","Franklin","BARLEY","Freeze",0,"",33
"5896",1989,"ID","Franklin","BARLEY","Drought",10,"OCT",537
"5897",1989,"ID","Franklin","BARLEY","Heat",10,"OCT",558
"5898",1989,"ID","Franklin","BARLEY","Hail",10,"OCT",4657
"5899",1989,"ID","Franklin","BARLEY","Frost",6,"JUN",6036
"5900",1989,"ID","Franklin","BARLEY","Frost",9,"SEP",265
"5901",1989,"ID","Franklin","BARLEY","Frost",10,"OCT",9125
"5902",1989,"ID","Franklin","BARLEY","Freeze",6,"JUN",842
"5903",1989,"ID","Franklin","BARLEY","Wind/Excess Wind",10,"OCT",378
"5904",1989,"ID","Franklin","BARLEY","Insects",10,"OCT",109
"5905",1989,"ID","Franklin","BARLEY","Heat",10,"OCT",2903
"5906",1989,"ID","Franklin","BARLEY","Frost",6,"JUN",851
"5907",1989,"ID","Franklin","BARLEY","Insects",10,"OCT",1244
"5908",1989,"ID","Fremont","OATS","Frost",6,"JUN",66
"5909",1989,"ID","Fremont","All Other Crops","Frost",6,"JUN",164463
"5910",1989,"ID","Fremont","All Other Crops","Frost",10,"OCT",895751
"5911",1989,"ID","Fremont","All Other Crops","Frost",6,"JUN",372704
"5912",1989,"ID","Fremont","All Other Crops","Frost",0,"",343
"5913",1989,"ID","Fremont","All Other Crops","Drought",10,"OCT",5604
"5914",1989,"ID","Fremont","All Other Crops","Hail",8,"AUG",22689
"5915",1989,"ID","Fremont","All Other Crops","Frost",6,"JUN",7302
"5916",1989,"ID","Fremont","All Other Crops","Frost",8,"AUG",3110
"5917",1989,"ID","Fremont","All Other Crops","Frost",10,"OCT",2424
"5918",1989,"ID","Gooding","All Other Crops","Heat",10,"OCT",322
"5919",1989,"ID","Gooding","All Other Crops","Frost",5,"MAY",1215
"5920",1989,"ID","Gooding","All Other Crops","Frost",10,"OCT",322
"5921",1989,"ID","Gooding","All Other Crops","Freeze",5,"MAY",2349
"5922",1989,"ID","Idaho","WHEAT","Other (Snow-Lightning-Etc.)",0,"",3497
"5923",1989,"ID","Idaho","WHEAT","Excess Moisture/Precip/Rain",0,"",13410
"5924",1989,"ID","Idaho","WHEAT","Other (Snow-Lightning-Etc.)",0,"",1789
"5925",1989,"ID","Idaho","WHEAT","Drought",6,"JUN",1695
"5926",1989,"ID","Idaho","WHEAT","Drought",8,"AUG",4323
"5927",1989,"ID","Idaho","WHEAT","Heat",7,"JUL",1285
"5928",1989,"ID","Idaho","WHEAT","Excess Moisture/Precip/Rain",8,"AUG",1006
"5929",1989,"ID","Idaho","DRY PEAS","Hail",0,"",1152
"5930",1989,"ID","Idaho","DRY PEAS","Excess Moisture/Precip/Rain",0,"",16645
"5931",1989,"ID","Idaho","DRY PEAS","Excess Moisture/Precip/Rain",4,"APR",1087
"5932",1989,"ID","Idaho","DRY PEAS","Excess Moisture/Precip/Rain",5,"MAY",390
"5933",1989,"ID","Idaho","DRY PEAS","Excess Moisture/Precip/Rain",6,"JUN",1791
"5934",1989,"ID","Idaho","BARLEY","Heat",0,"",38
"5935",1989,"ID","Idaho","BARLEY","Drought",7,"JUL",341
"5936",1989,"ID","Jefferson","All Other Crops","Frost",6,"JUN",210741
"5937",1989,"ID","Jefferson","All Other Crops","Frost",10,"OCT",183640
"5938",1989,"ID","Jefferson","All Other Crops","Cold Wet Weather",7,"JUL",4906
"5939",1989,"ID","Jefferson","All Other Crops","Frost",6,"JUN",84341
"5940",1989,"ID","Jefferson","All Other Crops","Plant Disease",7,"JUL",118500
"5941",1989,"ID","Jefferson","All Other Crops","Frost",0,"",1227
"5942",1989,"ID","Jefferson","All Other Crops","",9,"SEP",5774
"5943",1989,"ID","Jefferson","All Other Crops","",10,"OCT",2096
"5944",1989,"ID","Jefferson","All Other Crops","Heat",10,"OCT",8867
"5945",1989,"ID","Jefferson","All Other Crops","Hail",7,"JUL",3161
"5946",1989,"ID","Jefferson","All Other Crops","Frost",6,"JUN",38814
"5947",1989,"ID","Jefferson","All Other Crops","Frost",7,"JUL",2234
"5948",1989,"ID","Jefferson","All Other Crops","Frost",8,"AUG",19424
"5949",1989,"ID","Jefferson","All Other Crops","Frost",9,"SEP",11184
"5950",1989,"ID","Jefferson","All Other Crops","Frost",10,"OCT",15257
"5951",1989,"ID","Jefferson","All Other Crops","Frost",12,"DEC",26183
"5952",1989,"ID","Jefferson","All Other Crops","Hot Wind",9,"SEP",10921
"5953",1989,"ID","Jefferson","All Other Crops","Frost",6,"JUN",5040
"5954",1989,"ID","Jerome","All Other Crops","Heat",7,"JUL",490
"5955",1989,"ID","Jerome","All Other Crops","Frost",3,"MAR",1405
"5956",1989,"ID","Jerome","All Other Crops","Frost",6,"JUN",3696
"5957",1989,"ID","Jerome","All Other Crops","Frost",9,"SEP",4481
"5958",1989,"ID","Jerome","All Other Crops","Frost",10,"OCT",1163
"5959",1989,"ID","Jerome","All Other Crops","Frost",12,"DEC",2052
"5960",1989,"ID","Jerome","All Other Crops","Wind/Excess Wind",10,"OCT",4668
"5961",1989,"ID","Jerome","All Other Crops","Drought",6,"JUN",787
"5962",1989,"ID","Jerome","All Other Crops","Hail",5,"MAY",7380
"5963",1989,"ID","Latah","OATS","Excess Moisture/Precip/Rain",8,"AUG",4973
"5964",1989,"ID","Latah","All Other Crops","Excess Moisture/Precip/Rain",8,"AUG",343
"5965",1989,"ID","Latah","All Other Crops","Excess Moisture/Precip/Rain",10,"OCT",2562
"5966",1989,"ID","Latah","All Other Crops","Drought",6,"JUN",140
"5967",1989,"ID","Latah","All Other Crops","Heat",6,"JUN",819
"5968",1989,"ID","Latah","All Other Crops","Heat",7,"JUL",1251
"5969",1989,"ID","Latah","All Other Crops","Excess Moisture/Precip/Rain",7,"JUL",1724
"5970",1989,"ID","Latah","All Other Crops","Excess Moisture/Precip/Rain",8,"AUG",118463
"5971",1989,"ID","Latah","All Other Crops","Excess Moisture/Precip/Rain",9,"SEP",6432
"5972",1989,"ID","Latah","All Other Crops","Excess Moisture/Precip/Rain",10,"OCT",51376
"5973",1989,"ID","Latah","All Other Crops","Freeze",2,"FEB",1878
"5974",1989,"ID","Latah","All Other Crops","Cold Winter",9,"SEP",6467
"5975",1989,"ID","Latah","All Other Crops","Plant Disease",10,"OCT",336
"5976",1989,"ID","Latah","All Other Crops","Excess Moisture/Precip/Rain",8,"AUG",3418
"5977",1989,"ID","Lewis","WHEAT","Excess Moisture/Precip/Rain",0,"",11501
"5978",1989,"ID","Lewis","WHEAT","Cold Wet Weather",0,"",6664
"5979",1989,"ID","Lewis","WHEAT","",11,"NOV",1348
"5980",1989,"ID","Lewis","WHEAT","Drought",6,"JUN",111
"5981",1989,"ID","Lewis","WHEAT","Drought",11,"NOV",4970
"5982",1989,"ID","Lewis","WHEAT","Excess Moisture/Precip/Rain",8,"AUG",133
"5983",1989,"ID","Lewis","WHEAT","Excess Moisture/Precip/Rain",9,"SEP",15669
"5984",1989,"ID","Lewis","WHEAT","Excess Moisture/Precip/Rain",10,"OCT",4969
"5985",1989,"ID","Lewis","WHEAT","Excess Moisture/Precip/Rain",11,"NOV",41934
"5986",1989,"ID","Lewis","DRY PEAS","Cold Wet Weather",0,"",657
"5987",1989,"ID","Lewis","DRY PEAS","Plant Disease",0,"",7230
"5988",1989,"ID","Lewis","DRY PEAS","Heat",0,"",174
"5989",1989,"ID","Lewis","DRY PEAS","Excess Moisture/Precip/Rain",0,"",4307
"5990",1989,"ID","Lewis","DRY PEAS","Frost",0,"",43
"5991",1989,"ID","Lewis","DRY PEAS","Hail",8,"AUG",1128
"5992",1989,"ID","Lewis","DRY PEAS","Excess Moisture/Precip/Rain",5,"MAY",6648
"5993",1989,"ID","Lewis","DRY PEAS","Excess Moisture/Precip/Rain",8,"AUG",877
"5994",1989,"ID","Lewis","DRY PEAS","Excess Moisture/Precip/Rain",9,"SEP",868
"5995",1989,"ID","Lewis","DRY PEAS","Excess Moisture/Precip/Rain",10,"OCT",663
"5996",1989,"ID","Lewis","BARLEY","Frost",0,"",3357
"5997",1989,"ID","Lewis","BARLEY","Wildlife",0,"",839
"5998",1989,"ID","Lincoln","All Other Crops","Heat",6,"JUN",906
"5999",1989,"ID","Lincoln","All Other Crops","Heat",7,"JUL",774
"6000",1989,"ID","Lincoln","All Other Crops","Heat",10,"OCT",2566
"6001",1989,"ID","Lincoln","All Other Crops","Frost",5,"MAY",1777
"6002",1989,"ID","Lincoln","All Other Crops","Frost",6,"JUN",3097
"6003",1989,"ID","Lincoln","All Other Crops","Frost",10,"OCT",2566
"6004",1989,"ID","Lincoln","All Other Crops","Freeze",6,"JUN",2822
"6005",1989,"ID","Lincoln","All Other Crops","Frost",0,"",1834
"6006",1989,"ID","Lincoln","All Other Crops","Heat",10,"OCT",12030
"6007",1989,"ID","Lincoln","All Other Crops","Frost",5,"MAY",2914
"6008",1989,"ID","Lincoln","All Other Crops","Frost",6,"JUN",1870
"6009",1989,"ID","Lincoln","All Other Crops","Frost",10,"OCT",15101
"6010",1989,"ID","Lincoln","All Other Crops","Other (Snow-Lightning-Etc.)",10,"OCT",519
"6011",1989,"ID","Lincoln","All Other Crops","Frost",5,"MAY",4674
"6012",1989,"ID","Madison","All Other Crops","Frost",10,"OCT",8751
"6013",1989,"ID","Madison","All Other Crops","Drought",0,"",1561
"6014",1989,"ID","Madison","All Other Crops","Frost",0,"",1960
"6015",1989,"ID","Madison","All Other Crops","Freeze",0,"",871
"6016",1989,"ID","Madison","All Other Crops","Drought",10,"OCT",3913
"6017",1989,"ID","Madison","All Other Crops","Frost",10,"OCT",6894
"6018",1989,"ID","Minidoka","WHEAT","Frost",11,"NOV",275
