"","year","state","county","commodity","damagecause","monthcode","month","acres","loss"
"11363",2001,"ID","Bannock","BARLEY","Frost",1,"JAN",489.8033,14538.74
"11364",2001,"ID","Bannock","All Other Crops","Drought",7,"JUL",83.9,644
"11365",2001,"ID","Bear Lake","WHEAT","Drought",6,"JUN",165,818
"11366",2001,"ID","Bear Lake","WHEAT","Freeze",0,"",44.04,-75.6
"11367",2001,"ID","Bear Lake","WHEAT","Freeze",6,"JUN",82.314,1214.4
"11368",2001,"ID","Bear Lake","WHEAT","Wildlife",8,"AUG",84.236,759.2
"11369",2001,"ID","Bear Lake","BARLEY","Drought",5,"MAY",28.422,304.8
"11370",2001,"ID","Bear Lake","BARLEY","Drought",6,"JUN",103.721,1623.43
"11371",2001,"ID","Bear Lake","BARLEY","Heat",8,"AUG",67.1925,2034.9
"11372",2001,"ID","Bear Lake","BARLEY","Heat",7,"JUL",78.27,2355.6
"11373",2001,"ID","Bear Lake","BARLEY","Heat",6,"JUN",565.1138,18009.29
"11374",2001,"ID","Bear Lake","BARLEY","Heat",6,"JUN",72.5592,2833.18
"11375",2001,"ID","Bear Lake","BARLEY","Heat",10,"OCT",28.866,539.07
"11376",2001,"ID","Bear Lake","BARLEY","Failure Irrig Supply",5,"MAY",13.36,251.2
"11377",2001,"ID","Bear Lake","BARLEY","Hail",6,"JUN",69.041,1402.38
"11378",2001,"ID","Bear Lake","BARLEY","Frost",8,"AUG",62.6952,2660.54
"11379",2001,"ID","Bear Lake","BARLEY","Frost",6,"JUN",699.4455,20541.24
"11380",2001,"ID","Bear Lake","BARLEY","Frost",8,"AUG",147.3798,4408.44
"11381",2001,"ID","Bear Lake","BARLEY","Freeze",0,"",38.2,-206
"11382",2001,"ID","Bear Lake","BARLEY","Freeze",6,"JUN",139.1,3133
"11383",2001,"ID","Bear Lake","BARLEY","Freeze",6,"JUN",585.001,10673.35
"11384",2001,"ID","Bear Lake","BARLEY","Hot Wind",6,"JUN",27.734,517.93
"11385",2001,"ID","Bear Lake","BARLEY","Wildlife",7,"JUL",16.875,423.5
"11386",2001,"ID","Bear Lake","BARLEY","Wildlife",8,"AUG",151.554,2439.15
"11387",2001,"ID","Benewah","WHEAT","Drought",5,"MAY",522.88,16076
"11388",2001,"ID","Benewah","DRY PEAS","Drought",5,"MAY",33.88,264
"11389",2001,"ID","Bingham","WHEAT","Drought",9,"SEP",186.2,3783
"11390",2001,"ID","Bingham","WHEAT","Heat",6,"JUN",580.86,18727
"11391",2001,"ID","Bingham","WHEAT","Heat",7,"JUL",1441.63,97126.64
"11392",2001,"ID","Bingham","WHEAT","Heat",6,"JUN",673.851,37920.07
"11393",2001,"ID","Bingham","WHEAT","Heat",6,"JUN",321.09,9372
"11394",2001,"ID","Bingham","WHEAT","Hail",8,"AUG",260,9027
"11395",2001,"ID","Bingham","WHEAT","Hail",9,"SEP",38.9,542
"11396",2001,"ID","Bingham","WHEAT","Hail",8,"AUG",704,22890
"11397",2001,"ID","Bingham","WHEAT","Frost",8,"AUG",4003.685,292315.11
"11398",2001,"ID","Bingham","WHEAT","Frost",6,"JUN",960.4,68776
"11399",2001,"ID","Bingham","WHEAT","Frost",0,"",467.6,-1640
"11400",2001,"ID","Bingham","WHEAT","Frost",4,"APR",475.524,37698.18
"11401",2001,"ID","Bingham","WHEAT","Frost",6,"JUN",279.116,15824.2
"11402",2001,"ID","Bingham","WHEAT","Cold Winter",6,"JUN",64.4,659
"11403",2001,"ID","Bingham","WHEAT","Cold Winter",6,"JUN",737,82589
"11404",2001,"ID","Bingham","WHEAT","Cold Winter",3,"MAR",414.5,3481
"11405",2001,"ID","Bingham","WHEAT","Cold Winter",4,"APR",373,3815
"11406",2001,"ID","Bingham","WHEAT","Cold Wet Weather",4,"APR",23,235
"11407",2001,"ID","Bingham","WHEAT","Wind/Excess Wind",7,"JUL",118.764,3088.8
"11408",2001,"ID","Bingham","WHEAT","Wind/Excess Wind",5,"MAY",128,3661
"11409",2001,"ID","Bingham","WHEAT","Plant Disease",4,"APR",66,675
"11410",2001,"ID","Bingham","WHEAT","Wildlife",4,"APR",169,55318
"11411",2001,"ID","Bingham","WHEAT","Wildlife",4,"APR",80.59,825
"11412",2001,"ID","Bingham","WHEAT","Other (Snow-Lightning-Etc.)",8,"AUG",284,35007
"11413",2001,"ID","Bingham","SUGAR BEETS","Wind/Excess Wind",4,"APR",267,9612
"11414",2001,"ID","Bingham","SUGAR BEETS","Wind/Excess Wind",5,"MAY",138,4968
"11415",2001,"ID","Bingham","SUGAR BEETS","Hot Wind",5,"MAY",125,4500
"11416",2001,"ID","Bingham","POTATOES","Heat",8,"AUG",1185.39,373859
"11417",2001,"ID","Bingham","POTATOES","Heat",7,"JUL",512.15,122303
"11418",2001,"ID","Bingham","POTATOES","Failure Irrig Supply",6,"JUN",30,14588
"11419",2001,"ID","Bingham","POTATOES","Hail",6,"JUN",191.8,7275
"11420",2001,"ID","Bingham","POTATOES","Hail",8,"AUG",837.7,100967
"11421",2001,"ID","Bingham","POTATOES","Frost",6,"JUN",427.5,96791
"11422",2001,"ID","Bingham","POTATOES","Freeze",6,"JUN",619.5,280757
"11423",2001,"ID","Bingham","POTATOES","Plant Disease",7,"JUL",134.5,20438
"11424",2001,"ID","Bingham","BARLEY","Drought",9,"SEP",35.17,13
"11425",2001,"ID","Bingham","BARLEY","Drought",8,"AUG",235,1507
"11426",2001,"ID","Bingham","BARLEY","Heat",7,"JUL",324,9612
"11427",2001,"ID","Bingham","BARLEY","Heat",7,"JUL",88.2,1384.74
"11428",2001,"ID","Bingham","BARLEY","Frost",8,"AUG",178.6,2521.26
"11429",2001,"ID","Bingham","BARLEY","Other (Snow-Lightning-Etc.)",9,"SEP",2200.4,82348
"11430",2001,"ID","Blaine","All Other Crops","Drought",7,"JUL",90,2434
"11431",2001,"ID","Blaine","All Other Crops","Wind/Excess Wind",5,"MAY",90,3240
"11432",2001,"ID","Bonneville","WHEAT","Drought",9,"SEP",574,28391
"11433",2001,"ID","Bonneville","WHEAT","Drought",10,"OCT",3062.4,149696
"11434",2001,"ID","Bonneville","WHEAT","Drought",5,"MAY",240,12588
"11435",2001,"ID","Bonneville","WHEAT","Drought",6,"JUN",930.5,55121
"11436",2001,"ID","Bonneville","WHEAT","Drought",8,"AUG",1221,18591
"11437",2001,"ID","Bonneville","WHEAT","Drought",5,"MAY",1457.172,102927.18
"11438",2001,"ID","Bonneville","WHEAT","Drought",6,"JUN",97.3,4433.8
"11439",2001,"ID","Bonneville","WHEAT","Heat",9,"SEP",78.6,648.6
"11440",2001,"ID","Bonneville","WHEAT","Heat",7,"JUL",41.7,1900.2
"11441",2001,"ID","Bonneville","WHEAT","Heat",7,"JUL",127,3868
"11442",2001,"ID","Bonneville","WHEAT","Heat",6,"JUN",163,673
"11443",2001,"ID","Bonneville","WHEAT","Failure Irrig Supply",5,"MAY",147.97,7415
"11444",2001,"ID","Bonneville","WHEAT","Excess Moisture/Precip/Rain",5,"MAY",67,1366
"11445",2001,"ID","Bonneville","WHEAT","Frost",6,"JUN",1703.228,145207.82
"11446",2001,"ID","Bonneville","WHEAT","Frost",9,"SEP",347.4,35748.4
"11447",2001,"ID","Bonneville","WHEAT","Frost",5,"MAY",348.72,2924.4
"11448",2001,"ID","Bonneville","WHEAT","Freeze",6,"JUN",141.17,7602
"11449",2001,"ID","Bonneville","WHEAT","Cold Winter",5,"MAY",160,1637
"11450",2001,"ID","Bonneville","WHEAT","Cold Winter",3,"MAR",232.48,1949.6
"11451",2001,"ID","Bonneville","WHEAT","Cold Winter",2,"FEB",118.5,997
"11452",2001,"ID","Bonneville","WHEAT","Cold Wet Weather",4,"APR",168.2,6987
"11453",2001,"ID","Bonneville","POTATOES","Heat",7,"JUL",1877.269,297696.75
"11454",2001,"ID","Bonneville","POTATOES","Heat",8,"AUG",40,4459
"11455",2001,"ID","Bonneville","POTATOES","Failure Irrig Supply",8,"AUG",545.8,274035
"11456",2001,"ID","Bonneville","POTATOES","Frost",7,"JUL",154.74,59468
"11457",2001,"ID","Bonneville","POTATOES","Frost",6,"JUN",276,68367
"11458",2001,"ID","Bonneville","POTATOES","Frost",9,"SEP",121.431,28496.25
"11459",2001,"ID","Bonneville","BARLEY","Drought",7,"JUL",1093.758,8059.33
"11460",2001,"ID","Bonneville","BARLEY","Drought",2,"FEB",125.46,3000.84
"11461",2001,"ID","Bonneville","BARLEY","Drought",5,"MAY",85.782,1793.67
"11462",2001,"ID","Bonneville","BARLEY","Drought",10,"OCT",2277.2,31237
"11463",2001,"ID","Bonneville","BARLEY","Heat",0,"",25,-2542
"11464",2001,"ID","Bonneville","BARLEY","Heat",7,"JUL",495.336,5627.8
"11465",2001,"ID","Bonneville","BARLEY","Heat",7,"JUL",1115.76,20755.9
"11466",2001,"ID","Bonneville","BARLEY","Failure Irrig Supply",7,"JUL",1438.64,61406
"11467",2001,"ID","Bonneville","BARLEY","Hail",8,"AUG",1903.5,58052
"11468",2001,"ID","Bonneville","BARLEY","Frost",7,"JUL",748.04,19988
"11469",2001,"ID","Bonneville","BARLEY","Frost",6,"JUN",184.54,4901.56
"11470",2001,"ID","Bonneville","BARLEY","Frost",6,"JUN",72.824,919.2
"11471",2001,"ID","Bonneville","BARLEY","Frost",2,"FEB",614.2,9826
"11472",2001,"ID","Bonneville","BARLEY","Wind/Excess Wind",6,"JUN",511.14,10369.1
"11473",2001,"ID","Bonneville","BARLEY","Wind/Excess Wind",6,"JUN",236,1493
"11474",2001,"ID","Bonneville","BARLEY","Wind/Excess Wind",5,"MAY",16,504.6
"11475",2001,"ID","Bonneville","All Other Crops","Heat",7,"JUL",7.92,38.8
"11476",2001,"ID","Bonneville","All Other Crops","Frost",6,"JUN",11.88,58.2
"11477",2001,"ID","Boundary","All Other Crops","Drought",6,"JUN",48.02,548
"11478",2001,"ID","Butte","WHEAT","Failure Irrig Supply",9,"SEP",110,1357
"11479",2001,"ID","Butte","WHEAT","Failure Irrig Supply",5,"MAY",26.3,619
"11480",2001,"ID","Butte","WHEAT","Failure Irrig Supply",10,"OCT",150,5128
"11481",2001,"ID","Butte","POTATOES","Failure Irrig Supply",5,"MAY",65,3886
"11482",2001,"ID","Butte","POTATOES","Failure Irrig Supply",7,"JUL",884.6,350980
"11483",2001,"ID","Butte","BARLEY","Heat",7,"JUL",140.4,10918
"11484",2001,"ID","Butte","BARLEY","Failure Irrig Supply",6,"JUN",52.3,3842
"11485",2001,"ID","Butte","BARLEY","Failure Irrig Supply",5,"MAY",180,3654.9
"11486",2001,"ID","Butte","BARLEY","Failure Irrig Supply",5,"MAY",43.2,685
"11487",2001,"ID","Butte","BARLEY","Failure Irrig Supply",8,"AUG",44.5,1894
"11488",2001,"ID","Butte","BARLEY","Failure Irrig Supply",9,"SEP",222.3,6142
"11489",2001,"ID","Butte","BARLEY","Failure Irrig Supply",10,"OCT",29.2,1149
"11490",2001,"ID","Butte","BARLEY","Hail",7,"JUL",19.3647,706.86
"11491",2001,"ID","Butte","BARLEY","Frost",6,"JUN",20,406.1
"11492",2001,"ID","Butte","BARLEY","Wind/Excess Wind",8,"AUG",18.6053,679.14
"11493",2001,"ID","Camas","BARLEY","Drought",8,"AUG",59.94,521
"11494",2001,"ID","Camas","BARLEY","Drought",6,"JUN",119.47,2065
"11495",2001,"ID","Camas","BARLEY","Drought",9,"SEP",165.68,705
"11496",2001,"ID","Camas","BARLEY","Drought",6,"JUN",1053.34,4911
"11497",2001,"ID","Camas","BARLEY","Drought",6,"JUN",767.9,12604
"11498",2001,"ID","Camas","BARLEY","Heat",8,"AUG",57.45,66
"11499",2001,"ID","Camas","BARLEY","Heat",6,"JUN",96,268
"11500",2001,"ID","Camas","BARLEY","Flood",6,"JUN",39.8,790
"11501",2001,"ID","Camas","All Other Crops","Drought",7,"JUL",144.2,709
"11502",2001,"ID","Canyon","WHEAT","Excess Moisture/Precip/Rain",5,"MAY",181.8,8411
"11503",2001,"ID","Canyon","SUGAR BEETS","Frost",4,"APR",250,1559
"11504",2001,"ID","Canyon","SUGAR BEETS","Freeze",4,"APR",506.87,18248
"11505",2001,"ID","Canyon","CORN","Heat",6,"JUN",139.76,978
"11506",2001,"ID","Canyon","DRY BEANS","Heat",2,"FEB",7,223
"11507",2001,"ID","Canyon","DRY BEANS","Failure Irrig Supply",10,"OCT",66,13657
"11508",2001,"ID","Canyon","APPLES","Frost",10,"OCT",49.224,40918.44
"11509",2001,"ID","Canyon","APPLES","Frost",4,"APR",44.2,27714
"11510",2001,"ID","Canyon","APPLES","Frost",3,"MAR",13.7,2379
"11511",2001,"ID","Canyon","APPLES","Freeze",7,"JUL",36,40751
"11512",2001,"ID","Canyon","APPLES","Freeze",4,"APR",46.6,61295
"11513",2001,"ID","Canyon","APPLES","Freeze",7,"JUL",112.1,6601
"11514",2001,"ID","Canyon","APPLES","Wind/Excess Wind",9,"SEP",43.176,25922.56
"11515",2001,"ID","Canyon","ADJUSTED GROSS REVENUE","Decline in Price",6,"JUN",0,192715
"11516",2001,"ID","Canyon","GREEN PEAS","Heat",5,"MAY",64.5,1374
"11517",2001,"ID","Canyon","BARLEY","Failure Irrig Supply",9,"SEP",54.8,1476
"11518",2001,"ID","Caribou","WHEAT","Drought",8,"AUG",208.4,10576
"11519",2001,"ID","Caribou","WHEAT","Drought",8,"AUG",603,13296
"11520",2001,"ID","Caribou","WHEAT","Drought",12,"DEC",188.343,1822.23
"11521",2001,"ID","Caribou","WHEAT","Drought",6,"JUN",142.71,11560
"11522",2001,"ID","Caribou","WHEAT","Heat",7,"JUL",66.555,589.56
"11523",2001,"ID","Caribou","WHEAT","Heat",7,"JUL",505.631,19889.59
"11524",2001,"ID","Caribou","WHEAT","Hail",8,"AUG",306,13812
"11525",2001,"ID","Caribou","WHEAT","Hail",7,"JUL",63.896,3493.21
"11526",2001,"ID","Caribou","WHEAT","Frost",6,"JUN",244.902,2317.21
"11527",2001,"ID","Caribou","WHEAT","Frost",9,"SEP",92.7,4327
"11528",2001,"ID","Caribou","WHEAT","Frost",8,"AUG",1385.773,64967.2
"11529",2001,"ID","Caribou","WHEAT","Freeze",5,"MAY",69.7,2293
"11530",2001,"ID","Caribou","WHEAT","Cold Winter",3,"MAR",196.1,188
"11531",2001,"ID","Caribou","WHEAT","Cold Winter",3,"MAR",176.5,28393
"11532",2001,"ID","Caribou","BARLEY","Drought",7,"JUL",2299.7,103926
"11533",2001,"ID","Caribou","BARLEY","Drought",3,"MAR",1696.4,60984
"11534",2001,"ID","Caribou","BARLEY","Drought",6,"JUN",349.7,1305
"11535",2001,"ID","Caribou","BARLEY","Drought",8,"AUG",2042.31,74997
"11536",2001,"ID","Caribou","BARLEY","Drought",6,"JUN",2244.1113,76675.1
"11537",2001,"ID","Caribou","BARLEY","Drought",9,"SEP",30.88,712
"11538",2001,"ID","Caribou","BARLEY","Drought",9,"SEP",1453.5,11357
"11539",2001,"ID","Caribou","BARLEY","Drought",8,"AUG",15.24,284.4
"11540",2001,"ID","Caribou","BARLEY","Drought",5,"MAY",264.4248,9984.27
"11541",2001,"ID","Caribou","BARLEY","Drought",1,"JAN",242.9,1895
"11542",2001,"ID","Caribou","BARLEY","Drought",8,"AUG",542.626,7125.09
"11543",2001,"ID","Caribou","BARLEY","Drought",7,"JUL",22.86,426.6
"11544",2001,"ID","Caribou","BARLEY","Heat",6,"JUN",27.54,1456.05
"11545",2001,"ID","Caribou","BARLEY","Hail",8,"AUG",563.1,27254
"11546",2001,"ID","Caribou","BARLEY","Hail",8,"AUG",564.774,7415.91
"11547",2001,"ID","Caribou","BARLEY","Hail",7,"JUL",685.4512,11370.45
"11548",2001,"ID","Caribou","BARLEY","Hail",6,"JUN",198.9,4779
"11549",2001,"ID","Caribou","BARLEY","Frost",8,"AUG",133.29,2081
"11550",2001,"ID","Caribou","BARLEY","Frost",7,"JUL",203.3549,8637.72
"11551",2001,"ID","Caribou","BARLEY","Frost",6,"JUN",685.1278,23132.41
"11552",2001,"ID","Caribou","BARLEY","Frost",9,"SEP",96.1,4674
"11553",2001,"ID","Cassia","WHEAT","Drought",6,"JUN",251.2,2918
"11554",2001,"ID","Cassia","WHEAT","Drought",9,"SEP",2799.29,152577
"11555",2001,"ID","Cassia","WHEAT","Drought",6,"JUN",2490.34,31677
"11556",2001,"ID","Cassia","WHEAT","Heat",8,"AUG",213.4,9588
"11557",2001,"ID","Cassia","WHEAT","Heat",6,"JUN",1629.66,15867
"11558",2001,"ID","Cassia","WHEAT","Heat",9,"SEP",927,54074
"11559",2001,"ID","Cassia","WHEAT","Heat",6,"JUN",316.8,25599
"11560",2001,"ID","Cassia","WHEAT","Heat",9,"SEP",635.55,26774
"11561",2001,"ID","Cassia","WHEAT","Heat",8,"AUG",41.8,3973
"11562",2001,"ID","Cassia","WHEAT","Heat",7,"JUL",1294,145273
"11563",2001,"ID","Cassia","WHEAT","Heat",11,"NOV",74.3,3635
"11564",2001,"ID","Cassia","WHEAT","Heat",11,"NOV",100,2718
"11565",2001,"ID","Cassia","WHEAT","Failure Irrig Supply",10,"OCT",22.87,819
"11566",2001,"ID","Cassia","WHEAT","Failure Irrig Supply",6,"JUN",202.1,6691
"11567",2001,"ID","Cassia","WHEAT","Failure Irrig Supply",6,"JUN",18.5,4449
"11568",2001,"ID","Cassia","WHEAT","Failure Irrig Supply",6,"JUN",168.2,8312
"11569",2001,"ID","Cassia","WHEAT","Hail",7,"JUL",220,3062
"11570",2001,"ID","Cassia","WHEAT","Hail",8,"AUG",220,3062
"11571",2001,"ID","Cassia","WHEAT","Hail",7,"JUL",235.4,25199
"11572",2001,"ID","Cassia","WHEAT","Frost",3,"MAR",66.9,685
"11573",2001,"ID","Cassia","WHEAT","Frost",8,"AUG",571.5,25136
"11574",2001,"ID","Cassia","WHEAT","Frost",9,"SEP",159.7,35231
"11575",2001,"ID","Cassia","WHEAT","Cold Winter",3,"MAR",158,38745
"11576",2001,"ID","Cassia","WHEAT","Cold Winter",4,"APR",460.7,3870
"11577",2001,"ID","Cassia","WHEAT","Cold Winter",4,"APR",139.5,1427
"11578",2001,"ID","Cassia","WHEAT","Cold Winter",3,"MAR",646.99,14209
"11579",2001,"ID","Cassia","WHEAT","Fire",7,"JUL",225,50244
"11580",2001,"ID","Cassia","WHEAT","Fire",9,"SEP",365.55,50976
"11581",2001,"ID","Cassia","SUGAR BEETS","Failure Irrig Supply",4,"APR",59.8,12056
"11582",2001,"ID","Cassia","SUGAR BEETS","Freeze",5,"MAY",443.7,15973.2
"11583",2001,"ID","Cassia","SUGAR BEETS","Cold Wet Weather",4,"APR",421.7,3974
"11584",2001,"ID","Cassia","SUGAR BEETS","Wind/Excess Wind",4,"APR",681,24515.2
"11585",2001,"ID","Cassia","SUGAR BEETS","Wind/Excess Wind",5,"MAY",470.9,16952
"11586",2001,"ID","Cassia","SUGAR BEETS","Wind/Excess Wind",8,"AUG",67,17849
"11587",2001,"ID","Cassia","SUGAR BEETS","Insects",5,"MAY",6.6,237.6
"11588",2001,"ID","Cassia","SUGAR BEETS","Plant Disease",6,"JUN",141.561,7738.08
"11589",2001,"ID","Cassia","SUGAR BEETS","Other (Snow-Lightning-Etc.)",8,"AUG",147.339,8053.92
"11590",2001,"ID","Cassia","DRY BEANS","Hail",5,"MAY",57.7,3900
"11591",2001,"ID","Cassia","POTATOES","Heat",7,"JUL",360.8,82881
"11592",2001,"ID","Cassia","POTATOES","Heat",12,"DEC",131,20631
"11593",2001,"ID","Cassia","POTATOES","Failure Irrig Supply",3,"MAR",191.2,88709
"11594",2001,"ID","Cassia","POTATOES","Hail",7,"JUL",129.2,47878
"11595",2001,"ID","Cassia","POTATOES","Plant Disease",9,"SEP",115,64689
"11596",2001,"ID","Cassia","BARLEY","Drought",7,"JUL",350,1957
"11597",2001,"ID","Cassia","BARLEY","Drought",6,"JUN",174.8,2113
"11598",2001,"ID","Cassia","BARLEY","Drought",9,"SEP",78,1232
"11599",2001,"ID","Cassia","BARLEY","Heat",8,"AUG",17,508
"11600",2001,"ID","Cassia","BARLEY","Heat",3,"MAR",946,32163
"11601",2001,"ID","Cassia","BARLEY","Failure Irrig Supply",8,"AUG",108.2,8674
"11602",2001,"ID","Cassia","BARLEY","Hail",9,"SEP",40,4307
"11603",2001,"ID","Cassia","BARLEY","Hail",7,"JUL",192.08,22291
"11604",2001,"ID","Cassia","BARLEY","Wind/Excess Wind",7,"JUL",645.48,21295
"11605",2001,"ID","Cassia","BARLEY","Wind/Excess Wind",7,"JUL",347.75,14338
"11606",2001,"ID","Clark","All Other Crops","Heat",5,"MAY",556.7,26521
"11607",2001,"ID","Clearwater","WHEAT","Heat",6,"JUN",59.99,112
"11608",2001,"ID","Clearwater","WHEAT","Excess Moisture/Precip/Rain",4,"APR",1.66,52
"11609",2001,"ID","Clearwater","WHEAT","Excess Moisture/Precip/Rain",5,"MAY",300,25006
"11610",2001,"ID","Clearwater","WHEAT","Excess Moisture/Precip/Rain",5,"MAY",57.09,2650
"11611",2001,"ID","Clearwater","WHEAT","Cold Wet Weather",3,"MAR",53.29,448
"11612",2001,"ID","Clearwater","DRY BEANS","Drought",11,"NOV",244.6,5923
"11613",2001,"ID","Clearwater","DRY BEANS","Drought",7,"JUL",3.184,25.6
"11614",2001,"ID","Clearwater","DRY BEANS","Heat",6,"JUN",103.82,5956
"11615",2001,"ID","Clearwater","DRY BEANS","Heat",7,"JUL",8.352,243.2
"11616",2001,"ID","Clearwater","DRY BEANS","Excess Moisture/Precip/Rain",5,"MAY",17.304,403.2
"11617",2001,"ID","Clearwater","DRY PEAS","Drought",7,"JUL",0.652,27.6
"11618",2001,"ID","Clearwater","DRY PEAS","Heat",6,"JUN",15.92,670
"11619",2001,"ID","Clearwater","DRY PEAS","Heat",7,"JUL",190.808,134.8
"11620",2001,"ID","Clearwater","DRY PEAS","Excess Moisture/Precip/Rain",5,"MAY",1.84,70.6
"11621",2001,"ID","Clearwater","DRY PEAS","Excess Moisture/Precip/Rain",4,"APR",19.11,704
"11622",2001,"ID","Elmore","WHEAT","Failure Irrig Supply",4,"APR",257.88,46571
"11623",2001,"ID","Elmore","WHEAT","Failure Irrig Supply",4,"APR",68.42,3252
"11624",2001,"ID","Elmore","WHEAT","Failure Irrig Supply",7,"JUL",545,109939
"11625",2001,"ID","Elmore","SUGAR BEETS","Failure Irrig Supply",4,"APR",41,21254
"11626",2001,"ID","Elmore","SWEET CORN","Heat",7,"JUL",308.99,15594
"11627",2001,"ID","Franklin","WHEAT","Drought",9,"SEP",47.481,655.35
"11628",2001,"ID","Franklin","WHEAT","Drought",10,"OCT",314.5,3085
"11629",2001,"ID","Franklin","WHEAT","Drought",9,"SEP",706.311,8658.36
"11630",2001,"ID","Franklin","WHEAT","Drought",10,"OCT",265.83,2703
"11631",2001,"ID","Franklin","WHEAT","Drought",6,"JUN",40.18,718.9
"11632",2001,"ID","Franklin","WHEAT","Drought",7,"JUL",93.36,436
"11633",2001,"ID","Franklin","WHEAT","Heat",6,"JUN",81.4576,5962.81
"11634",2001,"ID","Franklin","WHEAT","Heat",5,"MAY",143.73,8955.5
"11635",2001,"ID","Franklin","WHEAT","Heat",5,"MAY",11.75,1737.4
"11636",2001,"ID","Franklin","WHEAT","Heat",7,"JUL",49,524.3
"11637",2001,"ID","Franklin","WHEAT","Hail",6,"JUN",17.22,308.1
"11638",2001,"ID","Franklin","WHEAT","Frost",12,"DEC",72.1344,5135.19
"11639",2001,"ID","Franklin","WHEAT","Frost",6,"JUN",77.65,10822.1
"11640",2001,"ID","Franklin","WHEAT","Frost",6,"JUN",903.159,21955.14
"11641",2001,"ID","Franklin","WHEAT","Frost",9,"SEP",51,545.7
"11642",2001,"ID","Franklin","WHEAT","Frost",6,"JUN",58.267,1700.65
"11643",2001,"ID","Franklin","WHEAT","Cold Winter",3,"MAR",30.65,3872.5
"11644",2001,"ID","Franklin","WHEAT","Cold Winter",6,"JUN",68.8,5240
"11645",2001,"ID","Franklin","WHEAT","Cold Winter",3,"MAR",25,-814
"11646",2001,"ID","Franklin","WHEAT","Cold Winter",4,"APR",32.2,329
"11647",2001,"ID","Franklin","SAFFLOWER","Drought",6,"JUN",96.4271,4823.07
"11648",2001,"ID","Franklin","SAFFLOWER","Heat",9,"SEP",100.3629,5019.93
"11649",2001,"ID","Franklin","BARLEY","Drought",6,"JUN",45.4,648.5
"11650",2001,"ID","Franklin","BARLEY","Drought",5,"MAY",60.515,1530.62
"11651",2001,"ID","Franklin","BARLEY","Drought",5,"MAY",6.7677,180.54
"11652",2001,"ID","Franklin","BARLEY","Heat",7,"JUL",219.9953,2912.56
"11653",2001,"ID","Franklin","BARLEY","Heat",6,"JUN",140.751,5102.88
"11654",2001,"ID","Franklin","BARLEY","Heat",6,"JUN",24.54,697.8
"11655",2001,"ID","Franklin","BARLEY","Heat",5,"MAY",19.44,194.8
"11656",2001,"ID","Franklin","BARLEY","Heat",5,"MAY",20.4,559.98
"11657",2001,"ID","Franklin","BARLEY","Frost",6,"JUN",153.842,3872.86
"11658",2001,"ID","Franklin","BARLEY","Frost",9,"SEP",168.861,1377
"11659",2001,"ID","Franklin","BARLEY","Frost",6,"JUN",5.985,151.38
"11660",2001,"ID","Franklin","BARLEY","Frost",7,"JUL",37.0623,981.86
"11661",2001,"ID","Franklin","BARLEY","Frost",1,"JAN",11.907,805.56
"11662",2001,"ID","Franklin","BARLEY","Frost",5,"MAY",60.1137,1654.44
"11663",2001,"ID","Franklin","BARLEY","Frost",7,"JUL",16.36,465.2
"11664",2001,"ID","Franklin","BARLEY","Hot Wind",7,"JUL",19.6,538.02
"11665",2001,"ID","Fremont","WHEAT","Heat",6,"JUN",93.87,4288
